hour,day,value
原屬國籍_泰國_男,101年,0
原屬國籍_泰國_女,101年,43
原屬國籍_越南_男,101年,29
原屬國籍_越南_女,101年,4259
原屬國籍_柬埔寨_男,101年,1
原屬國籍_柬埔寨_女,101年,53
原屬國籍_緬甸_男,101年,13
原屬國籍_緬甸_女,101年,61
原屬國籍_菲律賓_男,101年,14
原屬國籍_菲律賓_女,101年,296
原屬國籍_美國_男,101年,2
原屬國籍_美國_女,101年,0
原屬國籍_德國_男,101年,0
原屬國籍_德國_女,101年,0
原屬國籍_義大利_男,101年,0
原屬國籍_義大利_女,101年,0
原屬國籍_奧地利_男,101年,0
原屬國籍_奧地利_女,101年,0
原屬國籍_新加坡_男,101年,2
原屬國籍_新加坡_女,101年,0
原屬國籍_其他國家_男,101年,56
原屬國籍_其他國家_女,101年,7
原屬國籍_無國籍或國籍不詳_男,101年,10
原屬國籍_無國籍或國籍不詳_女,101年,13
原屬國籍_日本_男,100年,6
原屬國籍_日本_女,100年,12
原屬國籍_韓國_男,100年,4
原屬國籍_韓國_女,100年,4
原屬國籍_馬來西亞_男,100年,7
原屬國籍_馬來西亞_女,100年,18
原屬國籍_印尼_男,100年,29
原屬國籍_印尼_女,100年,738
原屬國籍_泰國_男,100年,5
原屬國籍_泰國_女,100年,73
原屬國籍_越南_男,100年,11
原屬國籍_越南_女,100年,4514
原屬國籍_柬埔寨_男,100年,0
原屬國籍_柬埔寨_女,100年,72
原屬國籍_緬甸_男,100年,26
原屬國籍_緬甸_女,100年,94
原屬國籍_菲律賓_男,100年,10
原屬國籍_菲律賓_女,100年,237
原屬國籍_美國_男,100年,1
原屬國籍_美國_女,100年,1
原屬國籍_德國_男,100年,0
原屬國籍_德國_女,100年,0
原屬國籍_義大利_男,100年,0
原屬國籍_義大利_女,100年,0
原屬國籍_奧地利_男,100年,0
原屬國籍_奧地利_女,100年,0
原屬國籍_新加坡_男,100年,0
原屬國籍_新加坡_女,100年,0
原屬國籍_其他國家_男,100年,34
原屬國籍_其他國家_女,100年,15
原屬國籍_無國籍或國籍不詳_男,100年,6
原屬國籍_無國籍或國籍不詳_女,100年,6
